PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
10880,GEN1,9.076112088794078e-16,333,Conventional Hydroelectric,0.600004192,1.8,0,0,18.7771429,-14.6707143,40.8014,-121.4481
10884,CTC1,-1.9797945112926572e-16,344,Natural Gas Fired Combustion Turbine,2.8000205,2.8,0,0,24.5645161,-14.3219355,34.326242,-118.44477
10884,CTC2,-1.9797945112926572e-16,344,Natural Gas Fired Combustion Turbine,2.8000205,2.8,0,0,24.5645161,-14.3219355,34.326242,-118.44477
50003,GEN1,-6.580626803366574e-16,233,Natural Gas Fired Combustion Turbine,46.0003395,46.0,0,0,28.5,-15.3,35.0968,-119.4299
50037,UNT2,2.1525885833659683e-16,262,Conventional Hydroelectric,2.33335021,7.0,0,0,18.7771429,-14.6707143,35.43,-118.8222
50049,GEN1,4.9824808149694254e-17,175,Wood/Wood Waste Biomass,0.0,12.5,0,0,1.53333333,-1.53333333,40.4728,-124.1014
50049,GEN2,4.9824808149694254e-17,175,Wood/Wood Waste Biomass,0.0,12.5,0,0,1.53333333,-1.53333333,40.4728,-124.1014
50049,GEN3,4.9824808149694254e-17,175,Wood/Wood Waste Biomass,0.0,7.5,0,0,1.53333333,-1.53333333,40.4728,-124.1014
50061,GEN2,-1.5475499209116927e-15,1118,Natural Gas Fired Combined Cycle,5.10003732,5.1,0,0,61.2301676,-35.8709497,32.778225,-117.070114
50061,GEN3,-1.5475499209116927e-15,1118,Natural Gas Fired Combined Cycle,5.10003732,5.1,0,0,61.2301676,-35.8709497,32.778225,-117.070114
50061,GEN4,-1.5302592506993742e-15,1118,Natural Gas Fired Combined Cycle,4.10002992,4.1,0,0,61.2301676,-35.8709497,32.778225,-117.070114
50061,GEN5,9.875488193999987,1118,Solar Photovoltaic,0.0,0.129292174,0,0,10.2,-7.0,32.778225,-117.070114
50061,GEN6,9.875488193999987,1118,Solar Photovoltaic,0.27247075,0.387876522,0,0,10.2,-7.0,32.778225,-117.070114
50061,GEN7,9.875488193999987,1118,Solar Photovoltaic,0.27247075,0.387876522,0,0,10.2,-7.0,32.778225,-117.070114
50061,GEN8,9.875488193999987,1118,Solar Photovoltaic,0.0,0.129292174,0,0,10.2,-7.0,32.778225,-117.070114
50076,UNT1,1.3228545264944845e-15,1480,Conventional Hydroelectric,0.0,0.2,0,0,18.7771429,-14.6707143,34.461667,-118.7511
50076,UNT2,9.516783754192573e-16,1480,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,34.461667,-118.7511
50089,S-17,1.475415018650296e-15,1129,Natural Gas Internal Combustion Engine,1.50001103,1.5,0,0,61.5666667,-27.3666667,37.77656,-122.451878
50115,GEN1,-6.405193949038599e-16,1692,Natural Gas Fired Combustion Turbine,48.2003532,48.2,0,0,29.9,-16.1,35.0329,-117.701
50119,GENA,-4.631757103957046e-16,8434,Other Gases,18.3001349,18.3,0,0,11.3333333,-6.1,38.0417,-122.2583
50119,GENB,-4.631757103957046e-16,8434,Other Gases,18.3001349,18.3,0,0,11.3333333,-6.1,38.0417,-122.2583
50119,GENC,-4.631757103957046e-16,8434,Other Gases,18.3001349,18.3,0,0,11.3333333,-6.1,38.0417,-122.2583
50131,K100,-5.519296963485636e-16,1920,Natural Gas Fired Combustion Turbine,38.4002833,38.4,0,0,0.0,0.0,36.1807,-120.3885
50134,GTAG,-8.754916486390479e-16,1665,Natural Gas Fired Combustion Turbine,69.610085,75.0,0,0,0.0,0.0,35.452577,-118.985313
50134,GTBG,-8.754916486390479e-16,1665,Natural Gas Fired Combustion Turbine,69.610085,75.0,0,0,0.0,0.0,35.452577,-118.985313
50134,GTCG,-8.754916486390479e-16,1665,Natural Gas Fired Combustion Turbine,69.610085,75.0,0,0,0.0,0.0,35.452577,-118.985313
50134,GTDG,-8.754916486390479e-16,1665,Natural Gas Fired Combustion Turbine,69.610085,75.0,0,0,0.0,0.0,35.452577,-118.985313
50147,1,8.671183992667769e-16,1877,Conventional Hydroelectric,0.466669881,1.4,0,0,18.7771429,-14.6707143,33.051,-117.175
50156,GEN1,6.110357944188717e-16,1735,Conventional Hydroelectric,1.06667421,3.2,0,0,18.7771429,-14.6707143,40.534454,-121.959109
50170,GEN1,-4.905349742063328e-16,270,Natural Gas Fired Combustion Turbine,38.7002855,38.7,0,0,24.0,-12.9,35.093046,-119.443617
50179,GEN1,6.64030359228501e-16,1299,Conventional Hydroelectric,0.833339198,2.5,0,0,18.7771429,-14.6707143,41.2792,-122.3292
50179,GEN2,6.64030359228501e-16,1299,Conventional Hydroelectric,0.833339198,2.5,0,0,18.7771429,-14.6707143,41.2792,-122.3292
50180,GEN1,3.961292704090875e-16,1734,Conventional Hydroelectric,1.66667861,5.0,0,0,18.7771429,-14.6707143,40.670536,-121.890645
50200,GEN1,-1.9745375618781979e-16,686,Natural Gas Fired Combustion Turbine,2.8000205,2.8,0,0,24.5645161,-14.3219355,33.688721,-117.834793
50200,GEN2,-2.0693502113174105e-16,686,Natural Gas Fired Combustion Turbine,3.3000242,3.3,0,0,24.5645161,-14.3219355,33.688721,-117.834793
50210,GEN1,8.13341243996273,1709,Geothermal,30.1002224,30.1,0,0,18.7,-10.0,33.1633,-115.6167
50210,GEN2,8.13341243996273,1709,Geothermal,9.50007018,9.5,0,0,13.1222222,-7.60444444,33.1633,-115.6167
